region,title,location,tonic,pitches,num_notes,pitchclasses,num_pitchclasses,tonic_transposed,pitches_transposed,pitchclasses_transposed,top5_after_transpose,scale
han,Renmin gongshe shizai hao,"Asia, China, Shanxi, Zizhou",D,"['D5', 'A4', 'C5', 'D5', 'D5', 'A4', 'C5', 'D5', 'G5', 'C5', 'A4', 'G4', 'A4', 'C5', 'D5', 'G5', 'D5', 'C5', 'A4', 'C5', 'A4', 'G4', 'E4', 'D4', 'G4', 'F#4', 'G4', 'G4', 'A4', 'C5', 'D5', 'D5', 'C5', 'D5', 'G4', 'D4', 'A4', 'C5', 'D5', 'G5', 'D5', 'C5', 'A4', 'C5', 'A4', 'G4', 'E4', 'D4', 'D5', 'C5', 'A4', 'G4', 'A4', 'C5', 'D5', 'G5', 'D5', 'C5', 'A4', 'C5', 'A4', 'G4', 'E4', 'D4']",64,"['D', 'A', 'C', 'G', 'E', 'F#']",6,C,"['C5', 'G4', 'B-4', 'C5', 'C5', 'G4', 'B-4', 'C5', 'F5', 'B-4', 'G4', 'F4', 'G4', 'B-4', 'C5', 'F5', 'C5', 'B-4', 'G4', 'B-4', 'G4', 'F4', 'D4', 'C4', 'F4', 'E4', 'F4', 'F4', 'G4', 'B-4', 'C5', 'C5', 'B-4', 'C5', 'F4', 'C4', 'G4', 'B-4', 'C5', 'F5', 'C5', 'B-4', 'G4', 'B-4', 'G4', 'F4', 'D4', 'C4', 'C5', 'B-4', 'G4', 'F4', 'G4', 'B-4', 'C5', 'F5', 'C5', 'B-4', 'G4', 'B-4', 'G4', 'F4', 'D4', 'C4']","['C', 'G', 'B-', 'F', 'D', 'E']","['C', 'B-', 'F', 'G', 'D']",shang
han,Zanmen de ling xiu Mao Zedong,"Asia, China, Shanxi Nordwesten",C,"['C5', 'C5', 'F5', 'C5', 'B-4', 'G4', 'C5', 'E-4', 'F4', 'G4', 'C5', 'C5', 'F5', 'C5', 'B-4', 'G4', 'C5', 'E-4', 'F4', 'G4', 'F5', 'D5', 'F5', 'D5', 'C5', 'F5', 'D5', 'F5', 'C5', 'B-4', 'G4', 'C5', 'G4', 'G4', 'G4', 'G4', 'C5', 'G4', 'F4', 'E-4', 'D4', 'C4', 'F4', 'E-4', 'F4', 'G4', 'C5', 'G4', 'A4', 'G4', 'F4', 'A4', 'G4', 'F4', 'E-4', 'D4', 'C4']",57,"['C', 'F', 'B-', 'G', 'E-', 'D', 'A']",7,C,"['C5', 'C5', 'F5', 'C5', 'B-4', 'G4', 'C5', 'E-4', 'F4', 'G4', 'C5', 'C5', 'F5', 'C5', 'B-4', 'G4', 'C5', 'E-4', 'F4', 'G4', 'F5', 'D5', 'F5', 'D5', 'C5', 'F5', 'D5', 'F5', 'C5', 'B-4', 'G4', 'C5', 'G4', 'G4', 'G4', 'G4', 'C5', 'G4', 'F4', 'E-4', 'D4', 'C4', 'F4', 'E-4', 'F4', 'G4', 'C5', 'G4', 'A4', 'G4', 'F4', 'A4', 'G4', 'F4', 'E-4', 'D4', 'C4']","['C', 'F', 'B-', 'G', 'E-', 'D', 'A']","['C', 'G', 'F', 'E-', 'D']",
han,Tian xin shun,"Asia, China, Shanxi Yanchang",D,"['D5', 'A4', 'D5', 'D5', 'A4', 'D5', 'A4', 'D5', 'G4', 'E4', 'D4', 'D5', 'D5', 'G5', 'G5', 'D5', 'G4', 'A4', 'B4', 'A4', 'E4', 'G4', 'E4', 'D4']",24,"['D', 'A', 'G', 'E', 'B']",5,C,"['C5', 'G4', 'C5', 'C5', 'G4', 'C5', 'G4', 'C5', 'F4', 'D4', 'C4', 'C5', 'C5', 'F5', 'F5', 'C5', 'F4', 'G4', 'A4', 'G4', 'D4', 'F4', 'D4', 'C4']","['C', 'G', 'F', 'D', 'A']","['C', 'G', 'F', 'D', 'A']",zhi
han,Liu zhi dan,"Asia, China, Shanxi Shanbei",B-,"['E-5', 'C5', 'B-4', 'A-4', 'B-4', 'E-4', 'F4', 'E-5', 'C5', 'B-4', 'A-4', 'A-4', 'B-4', 'E-4', 'F4', 'E-5', 'F5', 'E-5', 'F5', 'E-5', 'C5', 'B-4', 'A-4', 'A-4', 'F4', 'E-4', 'C4', 'B-3', 'E-5', 'E-5', 'C5', 'B-4', 'E-5', 'B-4', 'A-4', 'F4', 'E-4', 'F4', 'E-4', 'C4', 'B-3']",41,"['E-', 'C', 'B-', 'A-', 'F']",5,C,"['F4', 'D4', 'C4', 'B-3', 'C4', 'F3', 'G3', 'F4', 'D4', 'C4', 'B-3', 'B-3', 'C4', 'F3', 'G3', 'F4', 'G4', 'F4', 'G4', 'F4', 'D4', 'C4', 'B-3', 'B-3', 'G3', 'F3', 'D3', 'C3', 'F4', 'F4', 'D4', 'C4', 'F4', 'C4', 'B-3', 'G3', 'F3', 'G3', 'F3', 'D3', 'C3']","['F', 'D', 'C', 'B-', 'G']","['C', 'F', 'G', 'B-', 'D']",shang
han,Zanmen de hongjun shi li zhong,"Asia, China, Shanxi Shanbei",E,"['E5', 'E4', 'A4', 'G4', 'A4', 'B4', 'E5', 'D5', 'E5', 'B4', 'E5', 'E4', 'A4', 'G4', 'A4', 'B4', 'D5', 'B4', 'A4', 'G4', 'B4', 'A4', 'G4', 'E4']",24,"['E', 'A', 'G', 'B', 'D']",5,C,"['C5', 'C4', 'F4', 'E-4', 'F4', 'G4', 'C5', 'B-4', 'C5', 'G4', 'C5', 'C4', 'F4', 'E-4', 'F4', 'G4', 'B-4', 'G4', 'F4', 'E-4', 'G4', 'F4', 'E-4', 'C4']","['C', 'F', 'E-', 'G', 'B-']","['C', 'G', 'F', 'B-', 'E-']",yu
han,Yi gan hongqi kongzhong piao,"Asia, China, Shanxi Shanbei",D,"['C5', 'D5', 'G5', 'D5', 'E5', 'D5', 'C5', 'A4', 'C5', 'A4', 'G4', 'D4', 'C5', 'C5', 'D5', 'E5', 'D5', 'C5', 'A4', 'G4', 'C5', 'A4', 'A4', 'G4', 'D4']",25,"['C', 'D', 'G', 'E', 'A']",5,C,"['B-4', 'C5', 'F5', 'C5', 'D5', 'C5', 'B-4', 'G4', 'B-4', 'G4', 'F4', 'C4', 'B-4', 'B-4', 'C5', 'D5', 'C5', 'B-4', 'G4', 'F4', 'B-4', 'G4', 'G4', 'F4', 'C4']","['B-', 'C', 'F', 'D', 'G']","['C', 'B-', 'G', 'F', 'D']",shang
han,"Da nangoucha, Weggabelung)","Asia, China, Shanxi Wubao",C,"['C5', 'C5', 'D5', 'F5', 'C5', 'F5', 'D5', 'C5', 'A4', 'G4', 'F4', 'C5', 'D4', 'F4', 'F4', 'F5', 'D5', 'C5', 'C5', 'F4', 'G4', 'C5', 'A4', 'G4', 'F4', 'F4', 'G4', 'A4', 'A4', 'G4', 'C5', 'A4', 'G4', 'F4', 'G4', 'G4', 'G4', 'D4', 'F4', 'D4', 'C4']",41,"['C', 'D', 'F', 'A', 'G']",5,C,"['C5', 'C5', 'D5', 'F5', 'C5', 'F5', 'D5', 'C5', 'A4', 'G4', 'F4', 'C5', 'D4', 'F4', 'F4', 'F5', 'D5', 'C5', 'C5', 'F4', 'G4', 'C5', 'A4', 'G4', 'F4', 'F4', 'G4', 'A4', 'A4', 'G4', 'C5', 'A4', 'G4', 'F4', 'G4', 'G4', 'G4', 'D4', 'F4', 'D4', 'C4']","['C', 'D', 'F', 'A', 'G']","['C', 'F', 'G', 'D', 'A']",zhi
han,Heng shan li xialai xie youji dui,"Asia, China, Shanxi Shanbei",F,"['B-5', 'G5', 'F5', 'B-5', 'C6', 'F6', 'C6', 'F6', 'B-5', 'G5', 'F5', 'F6', 'C6', 'B-5', 'C6', 'F5', 'G5', 'B-5', 'C6', 'F6', 'C6', 'B-5', 'G5', 'F5', 'G5', 'F5']",26,"['B-', 'G', 'F', 'C']",4,C,"['F5', 'D5', 'C5', 'F5', 'G5', 'C6', 'G5', 'C6', 'F5', 'D5', 'C5', 'C6', 'G5', 'F5', 'G5', 'C5', 'D5', 'F5', 'G5', 'C6', 'G5', 'F5', 'D5', 'C5', 'D5', 'C5']","['F', 'D', 'C', 'G']","['C', 'F', 'G', 'D']",shang
han,Wo de gege dangle hongjun,"Asia, China, Shanxi Suide, Mizhi",D,"['G4', 'F4', 'E4', 'D4', 'D4', 'D4', 'G4', 'A4', 'E5', 'D5', 'D5', 'C5', 'A4', 'C5', 'A4', 'G4', 'F4', 'D4', 'G4', 'A4', 'F4', 'G4', 'A4', 'D5', 'C5', 'A4', 'F4', 'G4', 'A4', 'F4', 'D4', 'D5', 'D5', 'G5', 'D5', 'C5', 'A4', 'C5', 'A4', 'G4', 'F4', 'D4', 'D5', 'D5', 'G5', 'D5', 'C5', 'A4', 'D5', 'D5', 'G5', 'D5', 'C5', 'A4', 'C5', 'A4', 'G4', 'F4', 'D4', 'G4', 'G4', 'C5', 'A4', 'G4', 'F4', 'D4', 'D4', 'G4', 'F4', 'E4', 'D4', 'D4', 'D4', 'G4', 'A4', 'E5', 'D5', 'D5', 'C5', 'A4', 'C5', 'A4', 'G4', 'F4', 'D4', 'G4', 'A4', 'F4', 'G4', 'A4', 'D5', 'C5', 'A4', 'F4', 'G4', 'A4', 'F4', 'D4']",98,"['G', 'F', 'E', 'D', 'A', 'C']",6,C,"['F4', 'E-4', 'D4', 'C4', 'C4', 'C4', 'F4', 'G4', 'D5', 'C5', 'C5', 'B-4', 'G4', 'B-4', 'G4', 'F4', 'E-4', 'C4', 'F4', 'G4', 'E-4', 'F4', 'G4', 'C5', 'B-4', 'G4', 'E-4', 'F4', 'G4', 'E-4', 'C4', 'C5', 'C5', 'F5', 'C5', 'B-4', 'G4', 'B-4', 'G4', 'F4', 'E-4', 'C4', 'C5', 'C5', 'F5', 'C5', 'B-4', 'G4', 'C5', 'C5', 'F5', 'C5', 'B-4', 'G4', 'B-4', 'G4', 'F4', 'E-4', 'C4', 'F4', 'F4', 'B-4', 'G4', 'F4', 'E-4', 'C4', 'C4', 'F4', 'E-4', 'D4', 'C4', 'C4', 'C4', 'F4', 'G4', 'D5', 'C5', 'C5', 'B-4', 'G4', 'B-4', 'G4', 'F4', 'E-4', 'C4', 'F4', 'G4', 'E-4', 'F4', 'G4', 'C5', 'B-4', 'G4', 'E-4', 'F4', 'G4', 'E-4', 'C4']","['F', 'E-', 'D', 'C', 'G', 'B-']","['C', 'G', 'F', 'E-', 'B-']",yu
han,Huaishu kaihua,"Asia, China, Shanxi Shanbei",G,"['C5', 'A4', 'G4', 'C5', 'D5', 'E5', 'E5', 'D5', 'C5', 'E5', 'D5', 'D5', 'E5', 'A4', 'G4', 'A4', 'C5', 'D5', 'D5', 'A4', 'C5', 'A4', 'G4']",23,"['C', 'A', 'G', 'D', 'E']",5,C,"['F4', 'D4', 'C4', 'F4', 'G4', 'A4', 'A4', 'G4', 'F4', 'A4', 'G4', 'G4', 'A4', 'D4', 'C4', 'D4', 'F4', 'G4', 'G4', 'D4', 'F4', 'D4', 'C4']","['F', 'D', 'C', 'G', 'A']","['C', 'G', 'F', 'A', 'D']",zhi
